,ori,ncic_agency_name,state_abbr,city_name
10288,MI8257200,MELVINDALE PD,MI,MELVINDALE
10289,MI8262400,NORTHVILLE PD,MI,NORTHVILLE
10290,MI8267200,PLYMOUTH PD,MI,PLYMOUTH
10291,MI8269300,REDFORD TWP PD REDFORD,MI,REDFORD
10292,MI8270000,RIVER ROUGE PD,MI,RIVER ROUGE
10293,MI8270100,RIVERVIEW PD,MI,RIVERVIEW
10294,MI8270500,ROCKWOOD PD,MI,ROCKWOOD
10295,MI8270900,ROMULUS PD,MI,ROMULUS
10296,MI8275200,SOUTHGATE PD,MI,SOUTHGATE
10297,MI8277000,SUMPTER TWP PD BELLEVILLE,MI,BELLEVILLE
10298,MI8277500,TAYLOR PD,MI,TAYLOR
10299,MI8278300,TRENTON PD,MI,TRENTON
10300,MI8279300,VAN BUREN TOWNSHIP PD BELLEVILLE,MI,BELLEVILLE
10301,MI8281200,WAYNE PD,MI,WAYNE
10302,MI8281700,WESTLAND PD,MI,WESTLAND
10303,MI8283100,WOODHAVEN PD WOODHAVEN,MI,WOODHAVEN
10304,MI8283300,WYANDOTTE PD,MI,WYANDOTTE
10305,MI8284400,HURON CLINTON METRO AUTH POLICE,MI,BELLEVILLE
10306,MI8286200,HURON TWP PD NEW BOSTON,MI,NEW BOSTON
10307,MI8286300,SUMPTER TWP,MI,
10308,MI8286800,NORTHVILLE TWP PD,MI,NORTHVILLE
10309,MI8288000,,MI,
10310,MI8290600,UNIVERSITY OF MICHIGAN CAMPUS PD,MI,
10311,MI8290800,CANTON TOWNSHIP PD CANTON,MI,CANTON
10312,MI8293900,METROPOLITAN AIRPORT PD DETROIT,MI,ROMULUS
10313,MI8294700,BROWNSTOWN TOWNSHIP POLICE DEPARTMENT,MI,TRENTON
10314,MI8296500,PLYMOUTH TOWNSHIP PD PLYMOUTH,MI,PLYMOUTH
10315,MI8297400,,MI,LIVONIA
10316,MI8308300,SP: WEXFORD COUNTY,MI,CADILLAC
10317,MI8318300,WEXFORD CO SO CADILLAC,MI,CADILLAC
10318,MI8327700,BUCKLEY,MI,BUCKLEY
10319,MI8328100,CADILLAC PD,MI,CADILLAC
10320,MI8356900,MANTON PD,MI,MANTON
10321,MI8357400,MESICK PD,MI,MESICK
10322,MIATF0200,,FS,
10323,MIATF0400,,FS,
10324,MIATF0600,,FS,
10325,MIATFDE00,,FS,
10326,MIDEA0100,"DEA, DETROIT",MI,
10327,MIDI00100,ISLE ROYALE NP,MI,
10328,MIDI00200,PICTURED ROCKS NL,MI,
10329,MIDI00300,SLEEPING BEAR DUNES NL,MI,
10330,MIDI00400,VOYAGEURS NP,MI,
10331,MIDI00900,POKAGON BAND POTAWATOMI INDIANS TRIBAL POLICE,MI,DOWAGIAC
10332,MIDI03000,GUN LAKE TRIBAL,MI,WAYLAND
10333,MIDI05000,BU IN AFF LAW ENF KEWEENAW BAY AGY KEWEENAW BAY,MI,BARAGA
10334,MIDI05200,BIA LAW ENF ORIG BAND SAULT STE MARIE,MI,SAULT STE. MARIE
10335,MIDI05300,BIA LAW ENF SAGINAW CHIPPEWA AGCY MT PLEASANT,MI,MT PLEASANT
10336,MIDI05400,BIA LAW ENF BAY MILLS AGENCY BRIMLEY,MI,BRIMLEY
10337,MIDI05500,LITTLE TRAVERSE BAY BANDS OF ODAWA INDIANS,MI,HARBOR SPRINGS
10338,MIDI06000,LITTLE RIVER BAND OF OTTAWA INDIANS,MI,MANISTEE
10339,MIDI07000,PD NOTTAWASEPPI HURON BAND POTAWATOMI INDIANS,MI,FULTON
10340,MIFBIDE00,"FBI, DETROIT",FS,
10341,MIFPS0100,"GSA, FEDERAL PROTECTIVE SERVICE",MI,
10342,MIO500500,ANTRIM STATE POLICE,MI,
10343,MK0010000,DEPT OF PUBLIC SAFETY,MP,
10344,MN0010000,AITKIN CO SO AITKIN,MN,AITKIN
10345,MN0010100,,MN,AITKIN
10346,MN0010200,,MN,
10347,MN0010400,,MN,HILL CITY
10348,MN0020000,ANOKA CO SO ANOKA,MN,ANOKA
10349,MN0020100,ANOKA PD,MN,ANOKA
10350,MN0020200,BLAINE PD,MN,BLAINE
10351,MN0020300,CENTENNIAL LAKES POLICE DEPARTMENT,MN,CIRCLE PINES
10352,MN0020400,COLUMBIA HEIGHTS PD,MN,COLUMBIA HEIGHTS
10353,MN0020500,COON RAPIDS PD,MN,COON RAPIDS
10354,MN0020600,FRIDLEY PD,MN,FRIDLEY
10355,MN0020700,LINO LAKES PD,MN,LINO LAKES
10356,MN0020800,SPRING LAKE PARK PD,MN,SPRING LAKE PARK
10357,MN0020900,EAST BETHEL PD ANOKA,MN,ANOKA
10358,MN0021000,HAM LAKE PD ANOKA,MN,ANOKA
10359,MN0021100,LEXINGTON PD NEW BRIGHTON,MN,NEW BRIGHTON
10360,MN0021200,ANDOVER PD ANOKA,MN,ANOKA
10361,MN0021300,RAMSEY PD ANOKA,MN,RAMSEY
10362,MN0021400,HILLTOP PD,MN,COLUMBIA HGTS.
10363,MN0021500,ST FRANCIS PD,MN,SAINT FRANCIS
10364,MN0030000,BECKER CO SO DETROIT LAKES,MN,DETROIT LAKES
10365,MN0030100,DETROIT LAKES PD,MN,DETROIT LAKES
10366,MN0030200,,MN,
10367,MN0030300,,MN,
10368,MN0030400,,MN,
10369,MN0030600,THE WHITE EARTH TRIBAL POLICE DEPARTMENT,MN,
10370,MN0030900,,MN,
10371,MN0040000,BELTRAMI CO SO BEMIDJI,MN,BEMIDJI
10372,MN0040100,BEMIDJI PD,MN,BEMIDJI
10373,MN0040200,BLACKDUCK PD,MN,BLACKDUCK
10374,MN0050000,BENTON CO SO FOLEY,MN,FOLEY
10375,MN0050100,,MN,
10376,MN0050200,SAUK RAPIDS PD,MN,SAUK RAPIDS
10377,MN0050300,,MN,
10378,MN0060000,BIG STONE,MN,ORTONVILLE
10379,MN0060100,ORTONVILLE,MN,ORTONVILLE
10380,MN0070000,BLUE EARTH CO SO MANKATO,MN,MANKATO
10381,MN0070100,MANKATO PD,MN,MANKATO
10382,MN0070200,MAPLETON PD,MN,MAPLETON
10383,MN0070400,EAGLE LAKE PD,MN,EAGLE LAKE
10384,MN0070500,LAKE CRYSTAL PD,MN,LAKE CRYSTAL
10385,MN0071000,MADISON LAKE,MN,MADISON LAKE
10386,MN0071200,,MN,AMBOY
10387,MN0080000,BROWN CO SO NEW ULM,MN,NEW ULM
10388,MN0080100,NEW ULM PD,MN,NEW ULM
10389,MN0080200,SLEEPY EYE PD,MN,SLEEPY EYE
10390,MN0080300,SPRINGFIELD PD,MN,SPRINGFIELD
10391,MN0080400,,MN,
10392,MN0090000,CARLTON CO SO CARLTON,MN,CARLTON
10393,MN0090100,CLOQUET PD,MN,CLOQUET
10394,MN0090200,MOOSE LAKE PD,MN,MOOSE LAKE
10395,MN0090400,SCANLON PD CLOQUET,MN,SCANLON
10396,MN0090600,,MN,ESKO
10397,MN0090700,THOMPSON TOWNSHIP POLICE DEPARTMENT,MN,ESKO
10398,MN0100000,CARVER CO SO CHASKA,MN,CHASKA
10399,MN0100100,DPS CHANHASSEN,MN,CHANHASSEN
10400,MN0100200,CHASKA PD,MN,CHASKA
10401,MN0100300,WACONIA PD,MN,CHASKA
10402,MN0110000,CASS CO SO WALKER,MN,WALKER
10403,MN0110200,,MN,WALKER
10404,MN0110400,,MN,LONGVILLE
10405,MN0110500,,MN,PINE RIVER
10406,MN0110700,,MN,PILLAGER
10407,MN0110800,,MN,LAKE SHORE
10408,MN0111000,,MN,CASS LAKE
10409,MN0120000,CHIPPEWA,MN,MONTEVIDEO
10410,MN0120100,CLARA CITY PD,MN,CLARA CITY
10411,MN0120200,MONTEVIDEO PD,MN,MONTEVIDEO
10412,MN0130000,CHISAGO CO SO CENTER CITY,MN,CENTER CITY
10413,MN0130300,CHISAGO CITY PD,MN,CHISAGO CITY
10414,MN0130400,LINDSTROM PD,MN,LINDSTROM
10415,MN0130500,NORTH BRANCH PD,MN,NORTH BRANCH
10416,MN0130700,TAYLORS FALLS PD,MN,TAYLORS FALLS
10417,MN0130800,WYOMING PD,MN,WYOMING
10418,MN0130900,LAKES AREA POLICE DEPARTMENT,MN,LINDSTROM
10419,MN0140000,CLAY CO SO MOORHEAD,MN,MOORHEAD
10420,MN0140100,,MN,BARNESVILLE
10421,MN0140200,DILWORTH PD,MN,DILWORTH
10422,MN0140300,,MN,HAWLEY
10423,MN0140400,MOORHEAD PD,MN,MOORHEAD
10424,MN0140600,,MN,
10425,MN0150000,CLEARWATER CO SO BAGLEY,MN,BAGLEY
10426,MN0150100,,MN,
10427,MN0150200,,MN,
10428,MN0160000,COOK CO SO GRAND MARAIS,MN,GRAND MARAIS
10429,MN0160100,GRAND MARAIS PD,MN,GRAND MARAIS
10430,MN0170000,COTTONWOOD CO SO WINDOM,MN,WINDOM
10431,MN0170100,MOUNTAIN LAKE PD,MN,MOUNTAIN LAKE
10432,MN0170200,WINDOM PD,MN,WINDOM
10433,MN0170500,,MN,
10434,MN0180000,CROW WING CO SO BRAINERD,MN,BRAINERD
10435,MN0180100,BRAINERD PD,MN,BRAINERD
10436,MN0180200,CROSBY PD,MN,CROSBY
10437,MN0180300,,MN,BREEZY POINT
10438,MN0180400,,MN,CROSSLAKE
10439,MN0180500,BAXTER PD,MN,BAXTER
10440,MN0180600,,MN,
10441,MN0180700,,MN,
10442,MN0181000,,MN,
10443,MN0181100,,MN,PEQUOT LAKES
10444,MN0181300,,MN,
10445,MN0190000,DAKOTA CO SO HASTINGS,MN,HASTINGS
10446,MN0190100,DEPT OF PUBLIC SAFETY BURNSVILLE,MN,BURNSVILLE
10447,MN0190200,FARMINGTON PD,MN,FARMINGTON
10448,MN0190300,HASTINGS PD,MN,HASTINGS
10449,MN0190400,MENDOTA HEIGHTS PD,MN,MENDOTA HEIGHTS
10450,MN0190500,ROSEMOUNT PD,MN,ROSEMOUNT
10451,MN0190600,SOUTH ST PAUL PD,MN,SOUTH SAINT PAUL
10452,MN0190700,WEST ST PAUL PD,MN,WEST SAINT PAUL
10453,MN0190800,EAGAN PD,MN,EAGAN
10454,MN0190900,INVER GROVE HEIGHTS PD,MN,INVER GROVE HEIGHTS
10455,MN0191000,APPLE VALLEY PD,MN,APPLE VALLEY
10456,MN0191100,LAKEVILLE PD,MN,LAKEVILLE
10457,MN0200000,DODGE CO SO MANTORVILLE,MN,MANTORVILLE
10458,MN0200200,KASSON PD,MN,KASSON
10459,MN0200400,CLAREMONT PD,MN,
10460,MN0200600,,MN,WEST CONCORD
10461,MN0210000,DOUGLAS CO SO ALEXANDRIA,MN,ALEXANDRIA
10462,MN0210100,ALEXANDRIA PD,MN,ALEXANDRIA
10463,MN0210200,OSAKIS PD,MN,OSAKIS
10464,MN0220000,FARIBAULT CO SO BLUE EARTH,MN,BLUE EARTH
10465,MN0220100,BLUE EARTH PD,MN,BLUE EARTH
10466,MN0220200,ELMORE PD,MN,ELMORE
10467,MN0220400,WELLS PD,MN,WELLS
10468,MN0220500,WINNEBAGO PD,MN,WINNEBAGO
10469,MN0220600,SOUTH EASTERN FARIBAULT CO POLICE DEPT,MN,BRICELYN
10470,MN0220900,FROST PD,MN,BRICELYN
10471,MN0221000,,MN,MINNESOTA LAKE
10472,MN0230000,FILLMORE CO SO PRESTON,MN,PRESTON
10473,MN0230100,,MN,
10474,MN0230400,,MN,PRESTON
10475,MN0230500,,MN,RUSHFORD
10476,MN0230600,SPRING VALLEY PD PRESTON,MN,PRESTON
10477,MN0230800,,MN,FOUNTAIN
10478,MN0231100,,MN,OSTRANDER
10479,MN0240000,FREEBORN CO SO ALBERT LEA,MN,ALBERT LEA
10480,MN0240100,ALBERT LEA PD,MN,ALBERT LEA
10481,MN0240200,,MN,
10482,MN0250000,GOODHUE CO SO RED WING,MN,RED WING
10483,MN0250100,CANNON FALLS PD,MN,CANNON FALLS
10484,MN0250300,RED WING PD,MN,RED WING
10485,MN0250400,KENYON PD,MN,KENYON
10486,MN0250600,,MN,
10487,MN0250800,ZUMBROTA PD,MN,ZUMBROTA
10488,MN0260000,GRANT CO SO ELBOW LAKE,MN,ELBOW LAKE
10489,MN0260100,,MN,ELBOW LAKE
10490,MN0260200,,MN,ASHBY
10491,MN0270000,HENNEPIN CO SO MINNEAPOLIS,MN,MINNEAPOLIS
10492,MN0270100,BLOOMINGTON PD,MN,BLOOMINGTON
10493,MN0270200,BROOKLYN CENTER PD,MN,BROOKLYN CENTER
10494,MN0270300,BROOKLYN PARK PD,MN,BROOKLYN PARK
10495,MN0270400,CRYSTAL PD,MN,CRYSTAL
10496,MN0270500,DEEPHAVEN PD,MN,DEEPHAVEN
10497,MN0270600,EDINA PD,MN,EDINA
10498,MN0270700,SOUTH LAKE MINNETONKA PD,MN,EXCELSIOR
10499,MN0270800,GOLDEN VALLEY DEPT PUBLIC SAFETY GOLDEN VALLEY,MN,GOLDEN VALLEY
10500,MN0270900,HOPKINS PD,MN,HOPKINS
10501,MN0271100,MINNEAPOLIS PD,MN,MINNEAPOLIS
10502,MN0271200,MINNETONKA PD,MN,MINNETONKA
10503,MN0271300,MOUND PD,MN,MOUND
10504,MN0271400,NEW HOPE PD,MN,NEW HOPE
10505,MN0271500,ORONO PD CRYSTAL BAY,MN,CRYSTAL BAY
10506,MN0271600,OSSEO PD,MN,OSSEO
10507,MN0271700,PLYMOUTH PD,MN,PLYMOUTH
10508,MN0271800,RICHFIELD PD,MN,RICHFIELD
10509,MN0271900,ROBBINSDALE PD,MN,ROBBINSDALE
10510,MN0272000,ST ANTHONY POLICE DEPARTMENT,MN,MINNEAPOLIS
10511,MN0272100,ST LOUIS PARK PD,MN,SAINT LOUIS PARK
10512,MN0272200,SHOREWOOD,MN,
10513,MN0272300,WAYZATA PD,MN,WAYZATA
10514,MN0272400,UNIV OF MN PD MINNEAPOLIS,MN,MINNEAPOLIS
10515,MN0272500,MINNEAPOLIS-ST PAUL INTNATL AIRPORT PD ST PAUL,MN,ST. PAUL
10516,MN0272600,EDEN PRAIRIE PD,MN,EDEN PRAIRIE
10517,MN0272700,MAPLE GROVE PD,MN,MAPLE GROVE
10518,MN0272800,MINNETRISTA PUBLIC SAFETY DEPARTMENT,MN,MINNETRISTA
10519,MN0272900,CHAMPLIN PD,MN,CHAMPLIN
10520,MN0273000,MEDINA PD HAMEL,MN,MEDINA
10521,MN0273100,CORCORAN PD,MN,CORCORAN
10522,MN0273200,DAYTON PD,MN,DAYTON
10523,MN0273400,ROGERS PD,MN,ROGERS
10524,MN0273600,MINNETONKA BEACH PD,MN,CRYSTAL BAY
10525,MN0273700,WEST HENNEPIN PUBLIC SAFETY DEPT MAPLE PLAIN,MN,MAPLE PLAIN
10526,MN0273800,LONG LAKE PD,MN,CRYSTAL BAY
10527,MN0273900,MAPLE PLAIN PD,MN,MAPLE PLAIN
10528,MN0274000,THREE RIVERS PARK DISTRICT,MN,MAPLE PLAIN
10529,MN027410X,SPRING PARK,MN,
10530,MN0274200,MINNEAPOLIS PARK PD,MN,
10531,MN0274300,,MN,
10532,MN0280000,HOUSTON CO SO CALEDONIA,MN,CALEDONIA
10533,MN0280100,CALEDONIA PD,MN,CALEDONIA
10534,MN0280200,HOUSTON PD,MN,HOUSTON
10535,MN0280300,LA CRESCENT PD,MN,LA CRESCENT
10536,MN0280400,SPRING GROVE PD,MN,SPRING GROVE
10537,MN0280500,HOKAH PD,MN,HOKAH
10538,MN0290000,HUBBARD CO SO PARK RAPIDS,MN,PARK RAPIDS
10539,MN0290100,PARK RAPIDS PD,MN,PARK RAPIDS
10540,MN0290200,,MN,AKELEY
10541,MN0300000,ISANTI CO SO CAMBRIDGE,MN,CAMBRIDGE
10542,MN0300100,CAMBRIDGE PD,MN,CAMBRIDGE
10543,MN0300200,,MN,BRAHAM
10544,MN0300300,ISANTI,MN,ISANTI
10545,MN0310000,ITASCA CO SO GRAND RAPIDS,MN,GRAND RAPIDS
10546,MN0310100,,MN,BOVEY
10547,MN0310200,,MN,COLERAINE
10548,MN0310300,GRAND RAPIDS PD,MN,GRAND RAPIDS
10549,MN0310400,,MN,KEEWATIN
10550,MN0310500,NASHWAUK PD,MN,NASHWAUK
10551,MN0310700,,MN,DEER RIVER
10552,MN0320000,JACKSON CO SO JACKSON,MN,JACKSON
10553,MN0320100,JACKSON PD,MN,JACKSON
10554,MN0320200,LAKEFIELD PD,MN,LAKEFIELD
10555,MN0320300,,MN,
10556,MN0330000,KANABEC CO SO MORA,MN,MORA
10557,MN0330100,MORA PD,MN,MORA
10558,MN0340000,KANDIYOHI CO SO WILLMAR,MN,WILLMAR
10559,MN0340100,WILLMAR PD,MN,WILLMAR
10560,MN0340200,,MN,ATWATER
10561,MN0350000,KITTSON CO SO HALLOCK,MN,HALLOCK
10562,MN0350100,HALLOCK PD,MN,HALLOCK
10563,MN0360000,KOOCHICHING CO SO INTERNATIONAL FALLS,MN,INTERNATIONAL FALLS
10564,MN0360100,INTERNATIONAL FALLS PD,MN,INTERNATIONAL FALLS
10565,MN0360400,S INTERNATIONAL FALLS PD SOUTH INTERNATIONAL,MN,MINNESOTA
10566,MN0370000,LAC QUI PARLE CO SO MADISON,MN,MADISON
10567,MN0370100,DAWSON PD,MN,DAWSON
10568,MN0370200,MADISON PD,MN,MADISON
10569,MN0380000,LAKE CO SO TWO HARBORS,MN,TWO HARBORS
10570,MN0380100,SILVER BAY PD,MN,SILVER BAY
10571,MN0380200,TWO HARBORS PD,MN,TWO HARBORS
10572,MN0390000,LAKE OF THE WOODS CO SO BAUDETTE,MN,BAUDETTE
10573,MN0390100,,MN,BAUDETTE
10574,MN0400000,LE SUEUR CO SO LE CENTER,MN,LE CENTER
10575,MN0400100,,MN,
10576,MN0400200,LE SUEUR PD,MN,LE SUEUR
10577,MN0400300,MONTGOMERY PD,MN,MONTGOMERY
10578,MN0400400,,MN,
10579,MN0400600,,MN,
10580,MN0410000,LINCOLN CO SO IVANHOE,MN,IVANHOE
10581,MN0410100,,MN,
10582,MN0410400,,MN,
10583,MN0420000,LYON CO SO MARSHALL,MN,MARSHALL
10584,MN0420100,MARSHALL PD,MN,MARSHALL
10585,MN0420200,TRACY PD,MN,TRACY
10586,MN0420300,,MN,MINNEOTA
10587,MN0430000,MC LEOD CO SO GLENCOE,MN,GLENCOE
10588,MN0430100,GLENCOE PD,MN,GLENCOE
10589,MN0430200,HUTCHINSON PD,MN,HUTCHINSON
10590,MN0430300,BROWNTON PD,MN,BROWNTON
10591,MN0430400,LESTER PRAIRIE PD,MN,LESTER PRAIRIE
10592,MN0430500,SILVER LAKE PD,MN,SILVER LAKE
10593,MN0430600,STEWART PD,MN,STEWART
10594,MN0430700,WINSTED PD,MN,WINSTED
10595,MN0440000,MAHNOMEN CO SO MAHNOMEN,MN,MAHNOMEN
10596,MN0450000,MARSHALL CO SO WARREN,MN,WARREN
10597,MN0460000,MARTIN CO SO FAIRMONT,MN,FAIRMONT
10598,MN0460100,FAIRMONT PD,MN,FAIRMONT
10599,MN0460200,,MN,
10600,MN0460300,,MN,
10601,MN0460700,,MN,
10602,MN0470000,MEEKER CO SO LITCHFIELD,MN,LITCHFIELD
10603,MN0470100,LITCHFIELD PD,MN,LITCHFIELD
10604,MN0470200,,MN,EDEN VALLEY
10605,MN0470400,,MN,
10606,MN0480000,MILLE LACS CO SO MILACA,MN,MILACA
10607,MN0480100,MILACA PD,MN,MILACA
10608,MN0480200,PRINCETON PD,MN,PRINCETON
10609,MN0480300,,MN,ISLE
10610,MN0480400,,MN,ONAMIA
10611,MN0490000,MORRISON CO SO LITTLE FALLS,MN,LITTLE FALLS
10612,MN0490100,LITTLE FALLS PD,MN,LITTLE FALLS
10613,MN0490200,,MN,
10614,MN0490300,,MN,
10615,MN0490400,,MN,
10616,MN0490500,,MN,
10617,MN0500000,MOWER CO SO AUSTIN,MN,AUSTIN
10618,MN0500100,AUSTIN PD,MN,AUSTIN
10619,MN0510000,MURRAY CO SO SLAYTON,MN,SLAYTON
10620,MN0510100,,MN,FULDA
10621,MN0510200,SLAYTON PD,MN,SLAYTON
10622,MN0520000,NICOLLET CO SO ST PETER,MN,SAINT PETER
10623,MN0520100,NORTH MANKATO PD,MN,NORTH MANKATO
10624,MN0520200,ST PETER PD,MN,SAINT PETER
10625,MN0530000,NOBLES CO SO WORTHINGTON,MN,WORTHINGTON
10626,MN0530100,WORTHINGTON PD,MN,WORTHINGTON
10627,MN0530200,,MN,
10628,MN0540000,NORMAN CO SO ADA,MN,ADA
10629,MN0540100,,MN,
10630,MN0540400,,MN,
10631,MN0550000,OLMSTED CO SO ROCHESTER,MN,ROCHESTER
10632,MN0550100,ROCHESTER PD,MN,ROCHESTER
10633,MN0550200,STEWARTVILLE PD,MN,ROCHESTER
10634,MN0560000,OTTER TAIL CO SO FERGUS FALLS,MN,FERGUS FALLS
10635,MN0560100,FERGUS FALLS PD,MN,FERGUS FALLS
10636,MN0560200,PELICAN RAPIDS,MN,PELICAN RAPIDS
10637,MN0560300,,MN,
10638,MN0560400,,MN,
10639,MN0560600,,MN,
10640,MN0560700,,MN,
10641,MN0560800,,MN,
10642,MN0570000,PENNINGTON CO SO THIEF RIVER FALLS,MN,THIEF RIVER FALLS
10643,MN0570100,THIEF RIVER FALLS PD,MN,THIEF RIVER FALLS
10644,MN0580000,PINE CO SO PINE CITY,MN,PINE CITY
10645,MN0590000,PIPESTONE CO SO PIPESTONE,MN,PIPESTONE
10646,MN0590100,PIPESTONE PD,MN,PIPESTONE
10647,MN0600000,POLK CO SO CROOKSTON,MN,CROOKSTON
10648,MN0600100,CROOKSTON PD,MN,CROOKSTON
10649,MN0600200,EAST GRAND FORKS PD,MN,EAST GRAND FORKS
10650,MN0601300,,MN,
10651,MN0610000,POPE CO SO GLENWOOD,MN,GLENWOOD
10652,MN0610100,GLENWOOD PD,MN,GLENWOOD
10653,MN0610200,,MN,STARBUCK
10654,MN0620000,RAMSEY CO SO ST PAUL,MN,ST. PAUL
10655,MN0620100,ARDEN HILLS PD,MN,ST. PAUL
10656,MN0620200,FALCON HEIGHTS PD,MN,ST. PAUL
10657,MN0620300,LAUDERDALE PD ST PAUL,MN,ST. PAUL
10658,MN0620400,MAPLEWOOD PD,MN,MAPLEWOOD
10659,MN0620500,MOUNDS VIEW POLICE DEPARTMENT,MN,ST. PAUL
10660,MN0620600,NEW BRIGHTON DEPARTMENT OF PUBLIC SAFETY,MN,NEW BRIGHTON
10661,MN0620700,NORTH ST PAUL PD,MN,SAINT PAUL
10662,MN0620800,ROSEVILLE PD,MN,ROSEVILLE
10663,MN0620900,ST PAUL PD,MN,ST. PAUL
10664,MN0621000,WHITE BEAR LAKE PD,MN,WHITE BEAR LAKE
10665,MN0621100,LITTLE CANADA PD ST PAUL,MN,ST. PAUL
10666,MN0621200,SHOREVIEW ST PAUL,MN,ST. PAUL
10667,MN0621300,VADNAIS HEIGHTS PD ST PAUL,MN,ST. PAUL
10668,MN0621500,NORTH OAKS PD ST PAUL,MN,ST. PAUL
10669,MN0621700,WHITE BEAR TOWNSHIP WHITE BEAR LAKE,MN,WHITE BEAR LAKE
10670,MN0622000,,MN,
10671,MN0630000,RED LAKE CO SO RED LAKE FALLS,MN,RED LAKE FALLS
10672,MN0640000,REDWOOD CO SO REDWOOD FALLS,MN,REDWOOD FALLS
10673,MN0640100,,MN,LAMBERTON
10674,MN0640200,REDWOOD FALLS PD,MN,REDWOOD FALLS
10675,MN0640400,,MN,
10676,MN0640700,,MN,
10677,MN0650000,RENVILLE CO SO OLIVIA,MN,OLIVIA
10678,MN0650100,,MN,FAIRFAX
10679,MN0650200,,MN,HECTOR
10680,MN0650300,OLIVIA PD,MN,OLIVIA
10681,MN0650400,,MN,RENVILLE
10682,MN0650600,,MN,BUFFALO LAKE
10683,MN0650700,,MN,DANUBE
10684,MN0650800,,MN,FRANKLIN
10685,MN0651000,,MN,SACRED HEART
10686,MN0660000,RICE CO SO FARIBAULT,MN,FARIBAULT
10687,MN0660100,FARIBAULT PD,MN,FARIBAULT
10688,MN0660200,NORTHFIELD PD,MN,NORTHFIELD
10689,MN0660300,,MN,
10690,MN0660400,,MN,LONSDALE
10691,MN0660500,,MN,MORRISTOWN
10692,MN0670000,ROCK CO SO LUVERNE,MN,LUVERNE
10693,MN0670100,LUVERNE PD,MN,LUVERNE
10694,MN0680000,ROSEAU CO SO ROSEAU,MN,ROSEAU
10695,MN0680100,ROSEAU PD,MN,ROSEAU
10696,MN0680200,WARROAD PD,MN,WARROAD
10697,MN0690000,ST LOUIS CO SO DULUTH,MN,DULUTH
10698,MN0690100,AURORA PD,MN,DULUTH
10699,MN0690200,BABBITT PD,MN,BABBITT
10700,MN0690300,BIWABIK PD,MN,BIWABIK
10701,MN0690500,CHISHOLM PD,MN,CHISHOLM
10702,MN0690600,DULUTH PD,MN,DULUTH
10703,MN0690700,ELY PD,MN,ELY
10704,MN0690800,EVELETH PD,MN,EVELETH
10705,MN0690900,GILBERT PD,MN,GILBERT
10706,MN0691000,HIBBING PD,MN,HIBBING
10707,MN0691100,HOYT LAKES PD,MN,HOYT LAKES
10708,MN0691200,MOUNTAIN IRON PD,MN,DULUTH
10709,MN0691300,PROCTOR PD,MN,PROCTOR
10710,MN0691400,VIRGINIA PD,MN,VIRGINIA
10711,MN0691500,FLOODWOOD PD,MN,FLOODWOOD
10712,MN0691700,HERMANTOWN PD,MN,HERMANTOWN
10713,MN0691800,UNIV OF MINN PD DULUTH,MN,DULUTH
10714,MN0692100,,MN,DULUTH
10715,MN0694400,,MN,HOYT LAKES
10716,MN0700000,SCOTT CO SO SHAKOPEE,MN,SHAKOPEE
10717,MN0700100,BELLE PLAINE PD,MN,BELLE PLAINE
10718,MN0700200,JORDAN PD,MN,JORDAN
10719,MN0700300,NEW PRAGUE PD,MN,NEW PRAGUE
10720,MN0700400,SHAKOPEE PD,MN,SHAKOPEE
10721,MN0700600,SAVAGE PD,MN,SAVAGE
10722,MN0700900,PRIOR LAKE PD,MN,PRIOR LAKE
10723,MN0701000,,MN,ELKO NEW MARKET
10724,MN0710000,SHERBURNE CO SO ELK RIVER,MN,ELK RIVER
10725,MN0710100,BIG LAKE PD,MN,BIG LAKE
10726,MN0710200,ELK RIVER PD,MN,ELK RIVER
10727,MN0710400,BECKER PD,MN,BECKER
10728,MN0720000,SIBLEY CO SO GAYLORD,MN,GAYLORD
10729,MN0720100,,MN,ARLINGTON
10730,MN0720200,,MN,GAYLORD
10731,MN0720400,,MN,
10732,MN0720500,,MN,
10733,MN0720600,,MN,
10734,MN0730000,STEARNS CO SO ST CLOUD,MN,SAINT CLOUD
10735,MN0730100,COLD SPRING RICHMOND POLICE DEPARTMENT,MN,COLD SPRING
10736,MN0730200,MELROSE PD,MN,MELROSE
10737,MN0730300,PAYNESVILLE PD,MN,PAYNESVILLE
10738,MN0730400,ST CLOUD PD ST CLOUD,MN,ST CLOUD
10739,MN0730500,SAUK CENTRE PD,MN,SAUK CENTRE
10740,MN0730600,WAITE PARK PD,MN,WAITE PARK
10741,MN0730700,RICHMOND PD,MN,RICHMOND
10742,MN0730800,BELGRADE PD,MN,BELGRADE
10743,MN0731000,KIMBALL PD,MN,KIMBALL
10744,MN0731100,ST JOSEPH PD,MN,ST JOSEPH
10745,MN0731200,SARTELL PD,MN,SARTELL
10746,MN0731400,ALBANY PD,MN,ALBANY
10747,MN0731600,AVON PD,MN,AVON
10748,MN0740000,STEELE CO SO OWATONNA,MN,OWATONNA
10749,MN0740100,OWATONNA PD,MN,OWATONNA
10750,MN0740200,BLOOMING PRAIRIE PD,MN,BLOOMING PRAIRIE
10751,MN0750000,STEVENS CO SO MORRIS,MN,MORRIS
10752,MN0750100,MORRIS PD,MN,MORRIS
10753,MN0750500,,MN,HANCOCK
